SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,bureau_kredi_sayisi,bureau_farkli_kredi_turu,bureau_toplam_borc,bureau_aktif_kredi_sayisi,prev_basvuru_sayisi,prev_red_sayisi,prev_onay_sayisi,prev_kredi_farki_ort,son_basvuru_gunu,inst_toplam_taksit_sayisi,inst_ortalama_gecikme_gunu,inst_gecikmeli_odeme_sayisi,inst_eksik_odeme_sayisi,pos_kayit_sayisi,pos_biten_kredi_sayisi,pos_ortalama_gecikme_gunu,pos_max_gecikme_gunu,cc_kayit_sayisi,cc_ortalama_bakiye,cc_limit_kullanim_orani,cc_toplam_atm_cekimi
101763,0,Cash loans,F,false,false,0,117000.0,420718.5,22158.0,319500.0,Unaccompanied,State servant,Secondary / secondary special,Single / not married,With parents,0.01885,-9868,-2606,-4459.0,-2533,,1,1,0,1,0,0,,1.0,2,2,TUESDAY,10,0,0,0,0,1,1,Security Ministries,0.48315666618344522,0.71368982842075723,0.29859498978739724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-58.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,7,2,376740.0,1,11,0,10,1296.0,-22,82,-11.695121951219512,7,12,85,7,0.0,0,1,46570.5,0.34496666666666664,45000.0
103938,0,Cash loans,F,false,false,1,1350000.0,2410380.0,109053.0,2250000.0,,Commercial associate,Higher education,Married,House / apartment,0.072508,-12213,-843,-757.0,-4132,,1,1,0,1,1,0,Managers,3.0,1,1,SUNDAY,13,0,1,1,0,0,0,Housing,,0.72454136143894576,0.56914877136194086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0.0,0.0,0.0,0.0,-2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,4,4,34859560.5,1,0,0,0,,,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
108512,0,Cash loans,F,false,true,1,112500.0,531265.5,24894.0,373500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018801,-10097,-1649,-4299.0,-2453,,1,1,0,1,0,0,Sales staff,3.0,2,2,FRIDAY,13,0,0,0,1,0,0,Business Entity Type 3,0.20585685378732749,0.17227288141959571,0.38933879184687692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,180000.0,1,3,0,2,0.0,-15,13,-13.153846153846153,0,0,15,0,0.0,0,0,0.0,0.0,0.0
111490,0,Cash loans,M,false,true,0,45000.0,808650.0,26217.0,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.020246,-22643,365243,-1777.0,-3956,,1,0,0,1,0,0,,2.0,3,3,TUESDAY,9,0,0,0,0,0,0,XNA,,0.40382766126277558,0.66424826270523629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-152.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,3,2,567246.6,0,3,0,3,-20097.0,-152,12,-30.0,0,0,15,3,0.0,0,0,0.0,0.0,0.0
114037,1,Cash loans,M,false,false,0,157500.0,675000.0,19867.5,675000.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.0084739999999999989,-13505,-333,-5724.0,-4371,,1,1,0,1,0,0,,2.0,2,2,SATURDAY,11,0,1,1,0,1,1,Security,,0.56151380313092913,0.77008707001241283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-1361.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,10,2,2020055.85,0,2,0,2,67500.0,-1101,90,-2.8111111111111113,4,6,35,1,0.0,0,36,107424.75500000002,0.693062935483871,350100.0
115675,0,Cash loans,F,false,false,0,202500.0,678996.0,34668.0,540000.0,Unaccompanied,Working,Higher education,Single / not married,House / apartment,0.010006000000000001,-11841,-2817,-1871.0,-1884,,1,1,0,1,0,0,Accountants,1.0,2,2,FRIDAY,9,0,0,0,0,1,1,Transport: type 4,0.76326965529630009,0.62779107168163806,0.41709966825220968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2047.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,8,2,1759466.025,2,5,0,4,21304.8,-162,121,-7.0330578512396693,0,0,27,3,0.0,0,94,49834.1355319149,0.35168233783783787,195300.0
129522,0,Cash loans,M,false,true,2,135000.0,1078200.0,31653.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.015221,-15261,-229,-4924.0,-4926,,1,1,1,1,1,0,Security staff,4.0,2,2,TUESDAY,8,0,0,0,0,0,0,Business Entity Type 2,0.3815300023576137,0.63310993954158157,0.19406782767188119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,0.0,-2801.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,10,2,1178248.5,5,4,0,3,16052.625,-706,118,-1.728813559322034,29,28,105,55,0.70476190476190481,17,91,40116.169285714292,0.7211005244444445,206325.0
133610,0,Cash loans,F,false,false,1,112500.0,1303812.0,35982.0,1138500.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.022625,-14145,-3576,-1229.0,-4393,,1,1,0,1,0,0,,3.0,2,2,MONDAY,14,0,0,0,0,0,0,Other,0.2282928002825016,0.60587645606571539,0.74902170484633912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,0.0,0.0,0.0,0.0,-3180.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,6,2,1679980.5,1,3,0,3,60195.0,-633,114,-1.8245614035087723,0,0,25,2,0.0,0,89,2900.6079775280896,0.13038086363636359,90000.0
139206,0,Cash loans,M,true,true,0,180000.0,382500.0,20880.0,382500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.026392000000000002,-14124,-962,-22.0,-2716,0.0,1,1,0,1,0,0,Drivers,2.0,2,2,SATURDAY,14,0,0,0,0,1,1,Business Entity Type 3,0.4203965189845682,0.61121586927110494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1211.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0.0,0,5,0,3,11011.571999999996,-469,55,-5.9999999999999991,20,38,40,3,0.0,0,0,0.0,0.0,0.0
140475,0,Cash loans,F,true,true,2,54000.0,282690.0,17082.0,202500.0,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,0.008625,-13897,-7243,-4787.0,-5754,16.0,1,1,1,1,0,0,,4.0,2,2,THURSDAY,10,0,0,0,0,0,0,School,,0.6575965314806822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2328.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,1,1,136481.67,0,2,0,2,94950.0,-2328,106,-5.7264150943396226,6,6,25,2,0.0,0,76,72806.463947368407,0.40448035526315784,180000.0
